Game,Tags
Override: Mech City Brawl,Game not found
Puss!,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
Avernum 3: Ruined World,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats"
Roman Sands,"Single-player,Steam Achievements,Full controller support"
Slay The Spire,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Squad (Early Access),Game not found
Distance,"Single-player,Online PvP,Shared/Split Screen PvP,Cross-Platform Multiplayer,Steam Achievements,VR Supported,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Leaderboards,Includes level editor,Remote Play Together"
Guacamelee! 2,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Mothergunship,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
State Of Mind,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
God's Trigger,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
Shady Knight,"Single-player,Partial Controller Support,Profile Features Limited 
										

"
Kingdom Come: Deliverance,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Surviving Mars,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on TV"
Rising Storm etnam,Game not found
Yoku's Island Express,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
The Adventure Pals,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Almost There: The Platformer,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Swords And Soldiers 2 Shawarmageddon,"Single-player,Shared/Split Screen PvP,Steam Achievements,Full controller support,Captions available,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Don't Give Up,"Single-player,Steam Achievements,Full controller support,Captions available,Profile Features Limited 
										

"
Hellblade: Senua's Sacrifice,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Moonlighter,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Road Redemption,"Single-player,Online PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
"Warhammer 40,000: Mechanicus","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Love Is Dead,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play Together"
60 Parsecs,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Nairi: Tower Of Shirin,"Single-player,Steam Achievements"
Kind Words,"Single-player,Downloadable Content,Steam Cloud,Profile Features Limited 
										

"
Call Of Duty: Black Ops 4 Standard Edition,Game not found
911 Operator + Special Resources Dlc,Game not found
Red Faction Guerrilla Re-Mars-Tered,"Single-player,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
Duskers,"Single-player,Steam Achievements"
Paratopic,"Single-player,Steam Achievements,Full controller support,Captions available"
Pool Panic,"Single-player,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play Together"
Macdows 95,"Single-player,Steam Achievements,Steam Trading Cards,Steam Leaderboards"
Assassin's Creed Origins,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support,Remote Play on Tablet"
Finding Paradise,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Monster Prom,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Steam Trading Cards,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet,Remote Play Together"
The Journey Down: Chapter Three,Single-player
Wandersong,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
Do Not Feed The Monkeys,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
I Am Not A Monster,"Single-player,Online PvP,Online Co-op,Steam Achievements"
Once Upon A Crime In The West,Game not found
Mutant Year Zero: Road To Eden,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV"
Northgard,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud"
Absolver,"Single-player,Online PvP,Online Co-op,Steam Achievements,Full controller support,Remote Play on TV"
Tannenberg,"Single-player,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
Minit,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
She Remembered Caterpillars,"Single-player,Steam Achievements,Steam Trading Cards"
Steel Rats,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Dandara: Trials Of Fear Edition,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
A Short Hike,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards"
About The Charity,"Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats"
Warhammer: Vermintide 2 - Collector's Edition,"Single-player,Online Co-op,Downloadable Content,Steam Achievements,Steam Trading Cards,Partial Controller Support"
Earth Defense Force 4.1 The Shadow Of New Despair + All Dlc,Game not found
Cultist Simulator,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Tablet"
Tower Unite,"Single-player,MMO,Online PvP,Online Co-op,Steam Achievements,VR Supported,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards"
Late Shift,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Paradigm,"Single-player,Steam Achievements,Steam Trading Cards,Commentary available"
Fight'N Rage,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Slipstream,"Single-player,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play Together"
20 Minute Metropolis,"Single-player,Steam Achievements,Steam Leaderboards"
Sniper Elite 3,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Rock Of Ages 2: Bigger & Boulder(Tm),Game not found
Yakuza 0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Tom Clancy's The Division(Tm),Game not found
Full Metal Furies,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
Aaero,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Bleed 2,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Super Daryl Deluxe,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Rapture Rejects,Game not found
After Hours,"Single-player,Profile Features Limited 
										

"
Q.U.B.E. 2,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
>Observer_,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Profile Features Limited 
										

"
Sundered: Eldritch Edition,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Wizard Of Legend,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Just Cause 3 Xxl Edition,Game not found
Project Cars 2,"Downloadable Content,In-App Purchases,Profile Features Limited 
										

"
Regions Of Ruin,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Darkside Detective,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Roombo: First Blood (Justice Sucks),Game not found
Mega Man Legacy Collection,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on TV"
Zombie Army Trilogy,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Metal Gear Solid V: The Definitive Experience,Game not found
Cities: Skylines + After Dark Dlc,Game not found
Immortal Redneck,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Remote Play on TV"
Purrfect Date - Visual Novel/Dating Simulator,"Single-player,Steam Achievements,Captions available,Steam Cloud"
Seven: Enhanced Edition,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Neurovoider,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Cut & Run,Game not found
Resident Evil Revelations Unveiled Edition,Game not found
Dead Island Definitive Edition,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Stats,Remote Play on TV"
Sniper Elite,"Single-player,Steam Trading Cards"
Sniper Elite V2,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards"
Hitman: The Complete First Season,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Cloud"
Hollow Knight,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
7 Days To Die,
The Dwarves,"Single-player,Steam Achievements,Full controller support,Remote Play on TV"
Hard Reset Redux,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
Vape Escape,"Single-player,Steam Achievements,Profile Features Limited 
										

"
Dungeons 3,"Single-player,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
American Truck Simulator,"Single-player,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play Together"
Overwatch,"Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases"
"Gremlins, Inc.","Single-player,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats"
Hidden Folks,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet"
Old Man's Journey,"Single-player,Steam Trading Cards"
We Were Here Too,"Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Wandersong,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
Ollie & Bollie's Outdoor Estate,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Partial Controller Support,Remote Play Together"
Little Nightmares,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Darksiders Ii Deathinitive Edition,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Sniper Elite 4,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Tales Of Berseria,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Staxel,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop"
Battle Chef Brigade,"Single-player,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards,Remote Play Together"
Zombie Night Terror,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor"
Figment,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Ethereal,"Single-player,Full controller support,Profile Features Limited 
										

"
The Surge,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Sudden Strike 4,"Single-player,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play on TV"
A Hat In Time,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Stats,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
The Escapists 2,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Conan Exiles,"Single-player,Online PvP,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Remote Play on Tablet,Remote Play on TV"
Kona,"Single-player,Steam Achievements,Full controller support,VR Supported,Remote Play on TV"
Forged Battalion,"Single-player,Online PvP,Online Co-op,Steam Workshop,Steam Cloud,Steam Leaderboards"
Pathologic Classic Hd,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Woten,"Single-player,Full controller support,Profile Features Limited 
										

"
Forts,"Single-player,Online PvP,LAN PvP,Online Co-op,LAN Co-op,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor"
Titan Quest: Anniversary Edition + Titan Quest: Ragnarok Dlc,Game not found
Hearts Of Iron Iv,"Single-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Tablet"
Blackwake,"Online PvP,Online Co-op,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet"
Portal Knights,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Remote Play on Tablet,Remote Play Together"
Shiness: The Lightning Kingdom,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Interplanetary: Enhanced Edition,"Single-player,Online PvP,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play Together"
Serial Cleaner,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Styx: Shards Of Darkness,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Yooka-Laylee,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on TV,Remote Play Together"
Destiny 2,"Single-player,Online PvP,Online Co-op,Steam Achievements,In-App Purchases,Partial Controller Support"
"Cook, Serve, Delicious! 2!!","Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
Ken Follett's The Pillars Of The Earth,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Bear With Me - Collector's Edition,"Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Cloud,Profile Features Limited 
										

"
Acceleration Of Suguri 2,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play Together"
Running With Rifles,"Single-player,Online PvP,LAN PvP,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud"
Moon Hunters,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Kerbal Space Program,"Single-player,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud"
Dead Rising 4,"Single-player,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Ruiner,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Crazy Machines 3,"Single-player,Steam Achievements,VR Supported,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor"
Jalopy,"Single-player,Steam Achievements,Partial Controller Support"
Nba Playgrounds,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,In-App Purchases,Remote Play on TV,Remote Play Together"
Knight Club,"Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Remote Play Together,Profile Features Limited 
										

"
Outlast 2,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Lara Croft Go,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Deus Ex: Mankind Divided,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
God Eater 2: Rage Burst,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards"
Mafia Iii,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV"
Subterrain,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Aer Memories Of Old,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Laser League,"Single-player,Steam Cloud,Profile Features Limited 
										

"
Overgrowth,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Workshop,Partial Controller Support,Includes level editor,Remote Play Together"
Lost Castle,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Dark Souls III,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Splasher,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Aviary Attorney,"Single-player,Steam Trading Cards,Captions available"
Last Day Of June,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
Holy Potatoes! We'Re In Space?!,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Drawkanoid,Single-player
Life Is Strange Complete Season (Episodes 1-5),Game not found
Tacoma,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Sid Meier's Civilization VI,"Single-player,Online PvP,LAN PvP,Shared/Split Screen PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Turn Notifications,Remote Play on Tablet,Remote Play Together"
Owlboy,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Black The Fall,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Snake Pass,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
The Norwood Suite,"Single-player,Steam Achievements,Steam Trading Cards,Captions available"
Fortune-499,Single-player
Tomb Raider,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Sleeping Dogs: Definitive Edition,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Tablet,Remote Play on TV"
Quantum Break,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
The Long Dark,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
"Warhammer 40,000: Dawn Of War Iii","Single-player,Online PvP,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Includes level editor"
Hiveswap: Act 1,"Single-player,Steam Achievements,Steam Trading Cards"
Mr. Shifty,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards"
Cursed Castilla (Maldita Castilla Ex),"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Stats"
Hitchhiker,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Profile Features Limited 
										

"
Rivals Of Aether,"Single-player,Online PvP,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Not on steam anymore (delisted),Game not found
Blazblue: Chronophantasma Extend,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Nex Machina,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
The Sexy Brutale,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
STRAFE: Gold Edition,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards"
Passpartout: The Starving Artist,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Way Of The Passive Fist,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Thor.N,"Single-player,Profile Features Limited 
										

"
Crescent Bay,Game not found
Resident Evil 5 Gold Edition,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
Shadow Tactics: Blades Of The Shogun,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
The Elder Scrolls Online: Tamriel Unlimited,
Quake Champions,"Online PvP,Steam Achievements"
A Special Offering For The Elder Scrolls: Legends,Game not found
Dead Rising 2,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Silence,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Emily Is Away Too,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats"
World To The West,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Wilmot's Warehouse,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Wargame: Red Dragon,"Single-player,Online PvP,Online Co-op,Steam Trading Cards,Steam Cloud"
Furi,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on TV"
Rise Of The Tomb Raider,"Single-player,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Orwell: Keeping An Eye On You,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Seasons After Fall,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
The Shrouded Isle,"Single-player,Steam Achievements,Steam Trading Cards"
Scanner Sombre,"Single-player,Tracked Controller Support,VR Supported,Partial Controller Support"
Getting Over It With Bennett Foddy,"Single-player,Partial Controller Support,Commentary available,Remote Play on Phone,Remote Play on Tablet"
Banner Saga 2,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Tablet,Remote Play on TV"
Momodora: Reverie Under The Moonlight,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Killing Floor 2,"Single-player,Online PvP,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Includes level editor,Remote Play on Tablet,Remote Play on TV"
Worms W.M.D,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Stories Untold,"Single-player,Steam Achievements,Steam Cloud"
Hackyzack,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Stats"
Not on steam anymore (delisted),Game not found
Volantia: Kingdom In The Sky,Game not found
One Piece Burning Blood,"Single-player,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Steam Turn Notifications,Remote Play Together"
Offworld Trading Company,"Single-player,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Stats,Includes level editor"
Pillars Of Eternity,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available,Remote Play on Tablet"
Nba 2K17,Game not found
War For The Overworld,"Single-player,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor"
Overcooked,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Wuppo,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
Nongunz,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Remote Play Together"
Quiet City,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Galactic Civilizations III - Core Edition,Game not found
Hyper Light Drifter,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Dark Souls II: Scholar Of The First Sin,"Single-player,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Armello,"Single-player,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled,Remote Play on TV"
Simpleplanes,"Single-player,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud"
Sherlock Holmes: The Devil's Daughter,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Kero Blaster,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
